date;Heat Flux;T1;T2;U;Analysis period;U24;U2/3s;U2/3e;
2019-02-28 17:42:35;11.882851600647;25.375;18.125;2.91418947335279;1;1;1;0;
2019-02-28 17:52:35;11.6048908233643;25.25;17.75;2.71268519371089;1;1;1;0;
2019-02-28 18:02:35;12.0218324661255;25.0625;17.5;2.56735301298254;1;1;1;0;
2019-02-28 18:12:35;11.3269290924072;24.9375;17.25;2.44017573971379;1;1;1;0;
2019-02-28 18:22:35;10.632025718689;24.875;17;2.3241708987468;1;1;1;0;
2019-02-28 18:32:35;10.7710065841675;24.6875;16.75;2.23047631537978;1;1;1;0;
2019-02-28 18:42:35;10.4930448532104;24.5625;16.625;2.15023864194316;1;1;1;0;
2019-02-28 18:52:35;9.79814147949219;24.5;16.5625;2.07591912510296;1;1;1;0;
2019-02-28 19:02:35;9.65916061401367;24.375;16.3125;2.00906729670033;1;1;1;0;
2019-02-28 19:12:35;9.65916061401367;24.25;16;1.94847019191378;1;1;1;0;
2019-02-28 19:22:35;9.65916061401367;24.1875;15.875;1.8950756203465;1;1;1;0;
2019-02-28 19:32:35;9.24221801757813;24.125;15.8125;1.84528137119505;1;1;1;0;
2019-02-28 19:42:35;8.82527637481689;24;15.875;1.80086995973767;1;1;1;0;
2019-02-28 19:52:35;8.82527637481689;23.875;16;1.76436859988679;1;1;1;0;
2019-02-28 20:02:35;8.26935291290283;23.8125;15.75;1.72589710098531;1;1;1;0;
2019-02-28 20:12:35;8.40833377838135;23.75;15.625;1.69143861127531;1;1;1;0;
2019-02-28 20:22:35;8.26935291290283;23.6875;15.375;1.65762412635079;1;1;1;0;
2019-02-28 20:32:35;8.26935291290283;23.5625;15.625;1.63034522246516;1;1;1;0;
2019-02-28 20:42:35;7.85241079330444;23.5;15.875;1.60583416711291;1;1;1;0;
2019-02-28 20:52:35;7.71343040466309;23.5;15.75;1.58151404175236;1;1;1;0;
2019-02-28 21:02:35;7.57444953918457;23.375;15.875;1.56029830021715;1;1;1;0;
2019-02-28 21:12:35;7.2964882850647;23.375;15.625;1.53744063662886;1;1;1;0;
2019-02-28 21:22:35;7.15750741958618;23.375;15.4375;1.51426760501621;1;1;1;0;
2019-02-28 21:32:35;7.01852655410767;23.3125;15.5;1.49293564997013;1;1;1;0;
2019-02-28 21:42:35;6.60158443450928;23.25;15.375;1.47085143552727;1;1;1;0;
2019-02-28 21:52:35;6.87954568862915;23.25;15.1875;1.45023365494627;1;1;1;0;
2019-02-28 22:02:35;6.74056529998779;23.1875;15.25;1.43110796479885;1;1;1;0;
2019-02-28 22:12:35;6.60158443450928;23.125;15.25;1.41296508099693;1;1;1;0;
2019-02-28 22:22:35;6.87954568862915;23.125;15.1875;1.39661874869991;1;1;1;0;
2019-02-28 22:32:35;6.46260356903076;23.0625;15.25;1.38032767832156;1;1;1;0;
2019-02-28 22:42:35;6.18464231491089;22.875;15.125;1.3642568225296;1;1;1;0;
2019-02-28 22:52:35;6.18464231491089;22.875;14.9375;1.34817319927794;1;1;1;0;
2019-02-28 23:02:35;6.04566144943237;22.875;14.75;1.33164016081157;1;1;1;0;
2019-02-28 23:12:35;5.90668106079102;22.75;14.5625;1.31526278648384;1;1;1;0;
2019-02-28 23:22:35;6.04566144943237;22.875;14.25;1.29837183582757;1;1;1;0;
2019-02-28 23:32:35;6.18464231491089;22.875;14.1875;1.28256737515648;1;1;1;0;
2019-02-28 23:42:35;5.90668106079102;22.8125;14.125;1.26675276912022;1;1;1;0;
2019-02-28 23:52:35;5.62871932983398;22.75;14;1.25069871754775;1;1;1;0;
2019-03-01 00:02:35;5.62871932983398;22.75;13.8125;1.23478645816926;1;1;1;0;
2019-03-01 00:12:35;5.07279634475708;22.5625;13.9375;1.21918033894729;1;1;1;0;
2019-03-01 00:22:35;5.2117772102356;22.5625;13.75;1.20407264268038;1;1;1;0;
